Timestamp,DOA,Person Speaking,Times Person 0 has Spoken,Times Person 1 has Spoken,Times Person 2 has Spoken,Responses to Person 0,Responses to Person 1,Responses to Person 2,Person 0's Score,Person 1's Score,Person 2's Score,Exclusivity
2022-6-15 15:29:35.729,55,1,1,0,0,"0,0,0","0,0,0","0,0,0",0,0,0,0
2022-6-15 15:29:43.718,57,0,1,0,0,"0,0,0","0,0,0","0,0,0",0,0,0,0
2022-6-15 15:29:44.152,56,1,2,0,0,"0,0,0","0,0,0","0,0,0",0,0,0,0
2022-6-15 15:30:2.608,30,2,2,1,0,"0,1,0","0,0,0","0,0,0",0.25641,0.48718,0.25641,0.23077
2022-6-15 15:30:3.149,157,1,3,1,0,"0,1,0","1,0,0","0,0,0",0.47619,0.47619,0.04762,0.42857
2022-6-15 15:30:3.946,34,2,3,2,0,"0,2,0","1,0,0","0,0,0",0.47619,0.47619,0.04762,0.42857
2022-6-15 15:30:4.298,34,1,4,2,0,"0,2,0","2,0,0","0,0,0",0.47619,0.47619,0.04762,0.42857
2022-6-15 15:30:10.797,142,2,4,3,0,"0,3,0","2,0,0","0,0,0",0.47619,0.47619,0.04762,0.42857
2022-6-15 15:30:14.247,138,0,4,3,0,"0,3,0","2,0,0","0,0,0",0.47619,0.47619,0.04762,0.42857
2022-6-15 15:30:14.504,139,2,4,4,0,"0,3,0","2,0,0","0,0,0",0.47619,0.47619,0.04762,0.42857
2022-6-15 15:30:19.213,35,1,5,4,0,"0,3,0","3,0,0","0,0,0",0.47619,0.47619,0.04762,0.42857
2022-6-15 15:30:19.659,36,3,5,4,1,"0,3,1","3,0,0","0,0,0",0.43231,0.38111,0.18658,0.22455
2022-6-15 15:30:19.754,304,2,5,5,1,"0,3,1","3,0,0","0,1,0",0.42965,0.44035,0.13,0.30514
2022-6-15 15:30:19.932,36,1,6,5,1,"0,3,1","4,0,0","0,1,0",0.42965,0.44035,0.13,0.30514
2022-6-15 15:30:23.581,304,3,6,5,2,"0,3,2","4,0,0","0,1,0",0.40618,0.41427,0.17956,0.23077
2022-6-15 15:30:24.670,305,1,7,5,2,"0,3,2","4,0,0","1,1,0",0.44536,0.36098,0.19366,0.22189
2022-6-15 15:30:29.807,305,3,7,5,3,"0,3,3","4,0,0","1,1,0",0.43678,0.33333,0.22989,0.17917
2022-6-15 15:30:31.549,53,1,8,5,3,"0,3,3","4,0,0","2,1,0",0.45373,0.30876,0.23751,0.19085
2022-6-15 15:30:32.189,304,3,8,5,4,"0,3,4","4,0,0","2,1,0",0.44947,0.28605,0.26449,0.1752
2022-6-15 15:30:36.93,37,1,9,5,4,"0,3,4","4,0,0","3,1,0",0.45931,0.27114,0.26955,0.18897
2022-6-15 15:30:36.842,141,2,9,6,4,"0,4,4","4,0,0","3,1,0",0.46263,0.29586,0.24152,0.19957
2022-6-15 15:30:44.526,29,1,10,6,4,"0,4,4","5,0,0","3,1,0",0.46263,0.29586,0.24152,0.19957
2022-6-15 15:30:45.197,12,2,10,7,4,"0,5,4","5,0,0","3,1,0",0.46524,0.31533,0.21943,0.21458
2022-6-15 15:30:46.910,9,1,11,7,4,"0,5,4","6,0,0","3,1,0",0.46524,0.31533,0.21943,0.21458
2022-6-15 15:30:48.653,292,3,11,7,5,"0,5,5","6,0,0","3,1,0",0.46263,0.29586,0.24152,0.19957
2022-6-15 15:30:49.742,296,1,12,7,5,"0,5,5","6,0,0","4,1,0",0.46811,0.2879,0.24398,0.20572
2022-6-15 15:30:49.900,29,2,12,8,5,"0,6,5","6,0,0","4,1,0",0.46986,0.30459,0.22555,0.21593
2022-6-15 15:30:50.637,36,1,13,8,5,"0,6,5","7,0,0","4,1,0",0.46986,0.30459,0.22555,0.21593
2022-6-15 15:30:52.875,152,2,13,9,5,"0,7,5","7,0,0","4,1,0",0.47133,0.31859,0.21008,0.22733
2022-6-15 15:30:56.422,163,0,13,9,5,"0,7,5","7,0,0","4,1,0",0.47133,0.31859,0.21008,0.22733
2022-6-15 15:30:59.64,163,2,13,10,5,"0,7,5","7,0,0","4,1,0",0.47133,0.31859,0.21008,0.22733
2022-6-15 15:30:59.416,163,1,14,10,5,"0,7,5","7,0,0","4,1,0",0.47133,0.31859,0.21008,0.22733
2022-6-15 15:31:1.593,295,3,14,10,6,"0,7,5","7,0,0","4,1,0",0.47133,0.31859,0.21008,0.22733
2022-6-15 15:31:5.340,299,2,14,11,6,"0,7,5","7,0,0","4,2,0",0.4588,0.33582,0.20538,0.2195
2022-6-15 15:31:5.404,29,1,15,11,6,"0,7,5","8,0,0","4,2,0",0.4588,0.33582,0.20538,0.2195
2022-6-15 15:31:6.110,20,3,15,11,7,"0,7,6","8,0,0","4,2,0",0.45605,0.32118,0.22277,0.20285
2022-6-15 15:31:7.389,302,1,16,11,7,"0,7,6","8,0,0","5,2,0",0.46081,0.31444,0.22475,0.20639
2022-6-15 15:31:9.277,22,2,16,12,7,"0,8,6","8,0,0","5,2,0",0.46257,0.32568,0.21175,0.21752
2022-6-15 15:31:10.842,152,1,17,12,7,"0,8,6","9,0,0","5,2,0",0.46257,0.32568,0.21175,0.21752
2022-6-15 15:31:15.86,54,2,17,13,7,"0,9,6","9,0,0","5,2,0",0.4641,0.33548,0.20041,0.22839
2022-6-15 15:31:15.614,308,3,17,13,8,"0,9,6","9,0,1","5,2,0",0.4453,0.33125,0.22345,0.19215
2022-6-15 15:31:17.246,306,2,17,14,8,"0,9,6","9,0,1","5,3,0",0.4357,0.34322,0.22108,0.18646
2022-6-15 15:31:20.574,37,1,18,14,8,"0,9,6","10,0,1","5,3,0",0.43754,0.3435,0.21895,0.18992
2022-6-15 15:31:21.630,145,2,18,15,8,"0,10,6","10,0,1","5,3,0",0.43878,0.35107,0.21015,0.19978
2022-6-15 15:31:24.217,149,0,18,15,8,"0,10,6","10,0,1","5,3,0",0.43878,0.35107,0.21015,0.19978
2022-6-15 15:31:26.553,207,2,18,16,8,"0,10,6","10,0,1","5,3,0",0.43878,0.35107,0.21015,0.19978
2022-6-15 15:31:34.477,36,1,19,16,8,"0,10,6","11,0,1","5,3,0",0.44036,0.35134,0.2083,0.20278
2022-6-15 15:31:34.814,150,2,19,17,8,"0,11,6","11,0,1","5,3,0",0.44149,0.35808,0.20043,0.21204
2022-6-15 15:31:36.334,149,1,20,17,8,"0,11,6","12,0,1","5,3,0",0.44286,0.35833,0.19881,0.21465
2022-6-15 15:31:36.622,36,2,20,18,8,"0,12,6","12,0,1","5,3,0",0.44389,0.36438,0.19173,0.22329
2022-6-15 15:31:38.382,35,1,21,18,8,"0,12,6","13,0,1","5,3,0",0.44509,0.36461,0.1903,0.22559
2022-6-15 15:31:40.270,149,2,21,19,8,"0,13,6","13,0,1","5,3,0",0.44604,0.37007,0.18389,0.23362
2022-6-15 15:31:41.532,51,1,22,19,8,"0,13,6","14,0,1","5,3,0",0.4471,0.37028,0.18262,0.23566
2022-6-15 15:31:44.475,306,3,22,19,9,"0,13,7","14,0,1","5,3,0",0.44521,0.35964,0.19515,0.22012
2022-6-15 15:31:57.646,308,1,23,19,9,"0,13,7","14,0,1","6,3,0",0.44906,0.35486,0.19608,0.22145
2022-6-15 15:31:59.997,49,3,23,19,10,"0,13,8","14,0,1","6,3,0",0.44757,0.34494,0.20748,0.20865
2022-6-15 15:32:2.493,56,1,24,19,10,"0,13,8","14,0,1","7,3,0",0.45086,0.34078,0.20836,0.21031
2022-6-15 15:32:3.566,148,2,24,20,10,"0,14,8","14,0,1","7,3,0",0.45159,0.34649,0.20192,0.21712
2022-6-15 15:32:11.798,149,0,24,20,10,"0,14,8","14,0,1","7,3,0",0.45159,0.34649,0.20192,0.21712
2022-6-15 15:32:12.473,152,2,24,21,10,"0,14,8","14,0,1","7,3,0",0.45159,0.34649,0.20192,0.21712
2022-6-15 15:32:15.805,28,1,25,21,10,"0,14,8","15,0,1","7,3,0",0.45242,0.34669,0.2009,0.21874
2022-6-15 15:32:16.157,321,3,25,21,11,"0,14,9","15,0,1","7,3,0",0.45122,0.33755,0.21123,0.20793
2022-6-15 15:32:16.825,211,2,25,22,11,"0,14,9","15,0,1","7,4,0",0.44492,0.34562,0.20946,0.20475
2022-6-15 15:32:19.741,149,1,26,22,11,"0,14,9","16,0,1","7,4,0",0.44567,0.34575,0.20859,0.20616
2022-6-15 15:32:25.262,53,2,26,23,11,"0,15,9","16,0,1","7,4,0",0.44655,0.35083,0.20262,0.21287
2022-6-15 15:32:29.262,37,1,27,23,11,"0,15,9","17,0,1","7,4,0",0.44723,0.35095,0.20182,0.21417
2022-6-15 15:32:31.847,32,0,27,23,11,"0,15,9","17,0,1","7,4,0",0.44723,0.35095,0.20182,0.21417
2022-6-15 15:32:33.577,37,1,28,23,11,"0,15,9","17,0,1","7,4,0",0.44723,0.35095,0.20182,0.21417
2022-6-15 15:32:38.301,53,2,28,24,11,"0,16,9","17,0,1","7,4,0",0.44806,0.35565,0.19629,0.22059
2022-6-15 15:32:38.750,142,1,29,24,11,"0,16,9","18,0,1","7,4,0",0.44867,0.35577,0.19556,0.22177
